id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,home_ownership,annual_inc,verification_status,loan_status,pymnt_plan,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,acc_now_delinq
1069908,12000.0,12000.0,12000.0, 36 months,12.69,402.54,B,B5,OWN,75000.0,Source Verified,Fully Paid,n,CA,10.78,0.0,Oct-1989,0.0,12.0,0.0,23336.0,67.1,34.0,f,0.0,0.0,13943.08,13943.08,12000.0,1943.08,0.0,0.0,0.0,Sep-2013,6315.3,Aug-2013,0.0
1064687,9000.0,9000.0,9000.0, 36 months,13.49,305.38,C,C1,RENT,30000.0,Source Verified,Charged Off,n,VA,10.08,0.0,Apr-2004,1.0,4.0,0.0,10452.0,91.7,9.0,f,0.0,0.0,2270.7,2270.7,1256.14,570.26,0.0,444.3,4.16,Jul-2012,305.38,Nov-2012,0.0
1069866,3000.0,3000.0,3000.0, 36 months,9.91,96.68,B,B1,RENT,15000.0,Source Verified,Fully Paid,n,IL,12.56,0.0,Jul-2003,2.0,11.0,0.0,7323.0,43.1,11.0,f,0.0,0.0,3478.98191538,3478.98,3000.0,478.98,0.0,0.0,0.0,Jan-2015,102.43,Jan-2016,0.0
1069057,10000.0,10000.0,10000.0, 36 months,10.65,325.74,B,B2,RENT,100000.0,Source Verified,Charged Off,n,CA,7.06,0.0,May-1991,2.0,14.0,0.0,11997.0,55.5,29.0,f,0.0,0.0,7471.99,7471.99,5433.47,1393.42,0.0,645.1,6.3145,Oct-2013,325.74,Mar-2014,0.0
1069759,1000.0,1000.0,1000.0, 36 months,16.29,35.31,D,D1,RENT,28000.0,Not Verified,Fully Paid,n,MO,20.31,0.0,Sep-2007,1.0,11.0,0.0,6524.0,81.5,23.0,f,0.0,0.0,1270.1711062,1270.17,1000.0,270.17,0.0,0.0,0.0,Jan-2015,36.32,Jan-2016,0.0
1065775,10000.0,10000.0,10000.0, 36 months,15.27,347.98,C,C4,RENT,42000.0,Not Verified,Fully Paid,n,CA,18.6,0.0,Oct-1998,2.0,14.0,0.0,24043.0,70.2,28.0,f,0.0,0.0,12519.2604496,12519.26,10000.0,2519.26,0.0,0.0,0.0,Jan-2015,370.46,Apr-2015,0.0
1069971,3600.0,3600.0,3600.0, 36 months,6.03,109.57,A,A1,MORTGAGE,110000.0,Not Verified,Fully Paid,n,CT,10.52,0.0,Aug-1993,0.0,20.0,0.0,22836.0,16.0,42.0,f,0.0,0.0,3785.02,3785.02,3600.0,185.02,0.0,0.0,0.0,May-2013,583.45,May-2014,0.0
1062474,6000.0,6000.0,6000.0, 36 months,11.71,198.46,B,B3,MORTGAGE,84000.0,Verified,Fully Paid,n,UT,18.44,2.0,Oct-2003,0.0,4.0,0.0,0.0,37.73,14.0,f,0.0,0.0,7164.4998522,7164.5,6000.0,1149.5,15.0,0.0,0.0,Feb-2015,16.98,Jul-2015,0.0
1069742,9200.0,9200.0,9200.0, 36 months,6.03,280.01,A,A1,RENT,77385.19,Not Verified,Fully Paid,n,CA,9.86,0.0,Jan-2001,0.0,8.0,0.0,7314.0,23.1,28.0,f,0.0,0.0,9459.96,9459.96,9200.0,259.96,0.0,0.0,0.0,Jul-2012,8061.1,Jul-2012,0.0
1069740,20250.0,20250.0,19142.1610771, 60 months,15.27,484.63,C,C4,RENT,43370.0,Verified,Fully Paid,n,TX,26.53,0.0,Nov-1997,3.0,8.0,0.0,17813.0,85.6,22.0,f,0.0,0.0,27663.042671,25417.68,20250.0,7413.04,0.0,0.0,0.0,Aug-2015,6024.09,Dec-2015,0.0
1039153,21000.0,21000.0,21000.0, 36 months,12.42,701.73,B,B4,RENT,105000.0,Verified,Charged Off,n,FL,13.22,0.0,Feb-1983,0.0,7.0,0.0,32135.0,90.3,38.0,f,0.0,0.0,14025.4,14025.4,10694.96,3330.44,0.0,0.0,0.0,Sep-2013,701.73,Jan-2016,0.0
1069710,10000.0,10000.0,10000.0, 36 months,11.71,330.76,B,B3,OWN,50000.0,Source Verified,Fully Paid,n,TX,11.18,0.0,Jul-1985,0.0,8.0,0.0,10056.0,82.4,21.0,f,0.0,0.0,11902.5615747,11902.56,10000.0,1902.56,0.0,0.0,0.0,Jan-2015,349.21,Jan-2016,0.0
1069700,10000.0,10000.0,10000.0, 36 months,11.71,330.76,B,B3,RENT,50000.0,Not Verified,Fully Paid,n,CA,16.01,0.0,Apr-2003,0.0,6.0,0.0,17800.0,91.8,17.0,f,0.0,0.0,11536.31,11536.31,10000.0,1536.31,0.0,0.0,0.0,Oct-2013,4942.63,Mar-2014,0.0
1069559,6000.0,6000.0,6000.0, 36 months,11.71,198.46,B,B3,RENT,76000.0,Not Verified,Charged Off,n,CA,2.4,0.0,Jun-2001,1.0,7.0,0.0,5963.0,29.7,7.0,f,0.0,0.0,2050.14,2050.14,1305.58,475.25,0.0,269.31,2.57,Oct-2012,198.46,Mar-2013,0.0
1069697,15000.0,15000.0,15000.0, 36 months,9.91,483.38,B,B1,MORTGAGE,92000.0,Verified,Fully Paid,n,IL,29.44,0.0,Feb-2002,0.0,8.0,0.0,13707.0,93.9,31.0,f,0.0,0.0,15823.48,15823.48,15000.0,823.48,0.0,0.0,0.0,Sep-2012,2447.05,Sep-2012,0.0
1069800,15000.0,15000.0,8725.0, 36 months,14.27,514.64,C,C2,RENT,60000.0,Not Verified,Charged Off,n,NY,15.22,0.0,Oct-2003,1.0,7.0,0.0,5872.0,57.6,11.0,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Jan-2016,0.0
1069657,5000.0,5000.0,5000.0, 60 months,16.77,123.65,D,D2,RENT,50004.0,Not Verified,Charged Off,n,PA,13.97,3.0,Oct-2003,0.0,14.0,0.0,4345.0,59.5,22.0,f,0.0,0.0,1609.12,1609.12,629.05,719.11,0.0,260.96,2.3,Dec-2012,123.65,May-2013,0.0
1069799,4000.0,4000.0,4000.0, 36 months,11.71,132.31,B,B3,MORTGAGE,106000.0,Not Verified,Fully Paid,n,FL,5.63,1.0,Aug-1984,0.0,12.0,0.0,6110.0,37.7,44.0,f,0.0,0.0,4484.79,4484.79,4000.0,484.79,0.0,0.0,0.0,Apr-2013,2638.77,Jan-2016,0.0
1047704,8500.0,8500.0,8500.0, 36 months,11.71,281.15,B,B3,RENT,25000.0,Source Verified,Fully Paid,n,MN,12.19,0.0,Nov-2006,0.0,8.0,0.0,6441.0,59.1,12.0,f,0.0,0.0,10122.2086138,10122.21,8500.0,1622.21,0.0,0.0,0.0,Dec-2014,581.59,Jan-2015,0.0
1032111,4375.0,4375.0,4375.0, 36 months,7.51,136.11,A,A3,MORTGAGE,17108.0,Source Verified,Fully Paid,n,NY,20.34,0.0,Dec-1987,0.0,6.0,0.0,11210.0,86.9,12.0,f,0.0,0.0,4898.54355838,4898.54,4375.0,523.54,0.0,0.0,0.0,Jan-2015,144.94,Dec-2014,0.0
1069539,31825.0,31825.0,31825.0, 36 months,7.9,995.82,A,A4,MORTGAGE,75000.0,Verified,Fully Paid,n,NJ,14.03,0.0,Nov-1981,0.0,12.0,0.0,23151.0,27.4,26.0,f,0.0,0.0,34886.08,34886.08,31825.0,3061.08,0.0,0.0,0.0,Aug-2013,16966.7,Oct-2015,0.0
1065420,10000.0,10000.0,9975.0, 60 months,15.96,242.97,C,C5,RENT,29120.0,Verified,Current,n,FL,22.83,0.0,Feb-1997,1.0,11.0,0.0,16158.0,63.6,31.0,f,2695.31,2688.53,11622.36,11593.4,7304.67,4317.69,0.0,0.0,0.0,Jan-2016,242.97,Jan-2016,0.0
1069591,5000.0,5000.0,5000.0, 36 months,8.9,158.77,A,A5,RENT,24044.0,Verified,Fully Paid,n,OR,11.93,0.0,Apr-2005,0.0,8.0,0.0,2224.0,29.3,16.0,f,0.0,0.0,5714.59212878,5714.59,5000.0,714.59,0.0,0.0,0.0,Jan-2015,163.64,Jan-2016,0.0
1069530,7000.0,7000.0,7000.0, 36 months,15.96,245.97,C,C5,RENT,34000.0,Source Verified,Fully Paid,n,CA,6.35,0.0,Oct-2007,1.0,6.0,0.0,6113.0,60.5,6.0,f,0.0,0.0,8848.94043027,8848.94,7000.0,1848.94,0.0,0.0,0.0,Jan-2015,260.74,Dec-2014,0.0
1069522,12400.0,12400.0,12400.0, 36 months,10.65,403.91,B,B2,RENT,41000.0,Not Verified,Fully Paid,n,KY,11.8,0.0,Jul-2005,2.0,9.0,0.0,11095.0,57.2,12.0,f,0.0,0.0,14537.4595273,14537.46,12400.0,2137.46,0.0,0.0,0.0,Jan-2015,417.61,Dec-2014,0.0
1069361,10800.0,10800.0,10800.0, 36 months,9.91,348.03,B,B1,RENT,55596.0,Source Verified,Fully Paid,n,CA,5.5,0.0,Dec-2000,0.0,7.0,0.0,2535.0,13.3,18.0,f,0.0,0.0,12157.2,12157.2,10800.0,1357.2,0.0,0.0,0.0,Nov-2013,3483.79,Jan-2016,0.0
1069357,15000.0,15000.0,15000.0, 36 months,7.9,469.36,A,A4,RENT,45000.0,Verified,Fully Paid,n,OH,8.48,0.0,Nov-2004,0.0,7.0,0.0,6704.0,50.4,27.0,f,0.0,0.0,16662.6,16662.6,15000.0,1662.6,0.0,0.0,0.0,Jan-2014,5872.8,Jan-2016,0.0
1069356,6000.0,6000.0,6000.0, 36 months,12.42,200.5,B,B4,RENT,36852.0,Source Verified,Fully Paid,n,AZ,10.62,0.0,Apr-2007,1.0,7.0,0.0,7310.0,66.5,12.0,f,0.0,0.0,7125.2831651,7125.28,6000.0,1125.28,0.0,0.0,0.0,Apr-2014,1923.53,Jan-2016,0.0
1069346,12500.0,12500.0,12475.0, 60 months,12.69,282.44,B,B5,RENT,27000.0,Verified,Current,n,IL,16.04,0.0,Dec-2001,3.0,6.0,0.0,10143.0,50.0,24.0,f,3193.13,3186.72,13506.54,13479.58,9306.87,4199.67,0.0,0.0,0.0,Jan-2016,282.44,Jan-2016,0.0
1067573,9600.0,9600.0,9600.0, 36 months,7.51,298.67,A,A3,RENT,68004.0,Source Verified,Fully Paid,n,SC,6.63,0.0,Jan-2003,0.0,6.0,0.0,2896.0,18.1,11.0,f,0.0,0.0,10749.7626454,10749.76,9600.0,1149.76,0.0,0.0,0.0,Jan-2015,311.56,Dec-2014,0.0
1069506,12000.0,12000.0,12000.0, 36 months,7.9,375.49,A,A4,RENT,62300.0,Not Verified,Fully Paid,n,NJ,16.7,0.0,Mar-1994,0.0,15.0,0.0,8601.0,21.0,25.0,f,0.0,0.0,13516.3829573,13516.38,12000.0,1516.38,0.0,0.0,0.0,Jan-2015,380.98,Sep-2015,0.0
1069314,3000.0,3000.0,3000.0, 36 months,18.25,108.84,D,D5,MORTGAGE,65000.0,Not Verified,Fully Paid,n,PA,17.39,0.0,Sep-1998,0.0,8.0,0.0,43936.0,98.1,22.0,f,0.0,0.0,3915.02759536,3915.03,3000.0,915.03,0.0,0.0,0.0,Jan-2015,115.38,Jan-2016,0.0
1060578,4400.0,4400.0,4400.0, 36 months,16.77,156.37,D,D2,RENT,55000.0,Not Verified,Fully Paid,n,RI,20.01,0.0,Jun-2004,0.0,7.0,0.0,25237.0,99.0,11.0,f,0.0,0.0,5626.89265505,5626.89,4400.0,1226.89,0.0,0.0,0.0,Jan-2015,162.44,Dec-2015,0.0
1069469,6000.0,6000.0,6000.0, 36 months,6.03,182.62,A,A1,MORTGAGE,45600.0,Not Verified,Fully Paid,n,LA,5.34,0.0,Nov-1995,1.0,6.0,0.0,3378.0,32.5,28.0,f,0.0,0.0,6065.86,6065.86,6000.0,65.86,0.0,0.0,0.0,Jul-2012,15.01,Jun-2012,0.0
1051117,14000.0,14000.0,14000.0, 36 months,9.91,451.15,B,B1,RENT,80000.0,Not Verified,Fully Paid,n,MA,10.0,0.0,Jul-1999,1.0,7.0,0.0,2219.0,13.4,40.0,f,0.0,0.0,16239.9141276,16239.91,14000.0,2239.91,0.0,0.0,0.0,Jan-2015,457.91,Jan-2016,0.0
1069465,5000.0,5000.0,5000.0, 36 months,8.9,158.77,A,A5,MORTGAGE,100000.0,Source Verified,Charged Off,n,OH,16.33,0.0,Jun-1995,0.0,17.0,0.0,74351.0,62.1,35.0,f,0.0,0.0,5021.37,5021.37,4217.38,696.99,0.0,107.0,1.07,Aug-2014,158.77,Dec-2014,0.0
1069283,10000.0,10000.0,10000.0, 36 months,10.65,325.74,B,B2,RENT,27000.0,Verified,Fully Paid,n,NY,11.47,0.0,Nov-2006,0.0,7.0,0.0,7814.0,52.3,10.0,f,0.0,0.0,11724.5677368,11724.57,10000.0,1724.57,0.0,0.0,0.0,Jan-2015,332.92,Jan-2016,0.0
1069287,10000.0,10000.0,10000.0, 36 months,6.03,304.36,A,A1,RENT,60000.0,Not Verified,Fully Paid,n,CT,12.74,0.0,Sep-1992,1.0,11.0,0.0,14019.0,19.5,18.0,f,0.0,0.0,10282.67,10282.67,10000.0,282.67,0.0,0.0,0.0,Jul-2012,8762.05,Jan-2016,0.0
1069453,11000.0,11000.0,11000.0, 36 months,6.62,337.75,A,A2,RENT,70000.0,Not Verified,Fully Paid,n,CT,10.85,0.0,Jan-2002,0.0,5.0,0.0,11638.0,36.4,7.0,f,0.0,0.0,12157.3800468,12157.38,11000.0,1157.38,0.0,0.0,0.0,Jan-2015,346.13,Jan-2016,0.0
1069248,15000.0,15000.0,15000.0, 36 months,9.91,483.38,B,B1,MORTGAGE,80000.0,Not Verified,Charged Off,n,IL,9.12,0.0,Apr-1992,2.0,9.0,0.0,11845.0,63.7,28.0,f,0.0,0.0,16177.77,16177.77,13556.45,2374.34,24.17,222.81,36.3708,Oct-2014,483.38,Mar-2015,0.0
1068120,25600.0,25600.0,25350.0, 36 months,9.91,824.96,B,B1,RENT,110000.0,Verified,Fully Paid,n,CA,15.71,0.0,Jul-1999,0.0,11.0,0.0,26088.0,62.0,27.0,f,0.0,0.0,29695.6226757,29405.63,25600.0,4095.62,0.0,0.0,0.0,Jan-2015,838.27,Jan-2016,0.0
1069244,7000.0,7000.0,7000.0, 36 months,10.65,228.02,B,B2,RENT,40000.0,Not Verified,Fully Paid,n,CA,7.38,0.0,Apr-2004,0.0,7.0,0.0,12168.0,92.9,12.0,f,0.0,0.0,8205.47381646,8205.47,7000.0,1205.47,0.0,0.0,0.0,Jan-2015,240.27,Dec-2014,0.0
1069243,12000.0,12000.0,12000.0, 36 months,15.96,421.65,C,C5,RENT,50000.0,Not Verified,Charged Off,n,CA,20.88,0.0,Oct-2006,2.0,11.0,0.0,15793.0,90.8,11.0,f,0.0,0.0,3521.95,3521.95,1903.66,1039.35,0.0,578.94,5.49,Aug-2012,421.65,Dec-2012,0.0
1069238,12000.0,12000.0,12000.0, 36 months,9.91,386.7,B,B1,RENT,46000.0,Not Verified,Fully Paid,n,TX,8.11,0.0,May-2000,1.0,11.0,0.0,12143.0,52.1,12.0,f,0.0,0.0,13748.2131095,13748.21,12000.0,1748.21,0.0,0.0,0.0,Jul-2014,964.73,Jul-2014,0.0
1069410,21000.0,21000.0,20975.0, 60 months,19.91,555.33,E,E4,RENT,50000.0,Verified,Charged Off,n,WA,21.58,0.0,Sep-1998,1.0,7.0,0.0,19448.0,97.6,14.0,f,0.0,0.0,18319.14,18297.35,8990.81,9328.33,0.0,0.0,0.0,Oct-2014,555.33,Jan-2016,0.0
1068409,16000.0,16000.0,15950.0, 60 months,19.91,423.11,E,E4,RENT,81000.0,Verified,Fully Paid,n,MA,20.52,0.0,Dec-1998,3.0,12.0,0.0,27884.0,75.1,21.0,f,0.0,0.0,20876.1,20810.87,16000.0,4876.1,0.0,0.0,0.0,Oct-2013,9931.02,Jan-2016,0.0
1068487,10000.0,10000.0,10000.0, 36 months,12.42,334.16,B,B4,OWN,39000.0,Not Verified,Fully Paid,n,OR,18.58,0.0,Dec-2004,0.0,5.0,0.0,12874.0,72.7,10.0,f,0.0,0.0,11474.76,11474.76,10000.0,1474.76,0.0,0.0,0.0,Jul-2013,5803.94,Mar-2015,0.0
1043961,10000.0,10000.0,10000.0, 36 months,10.65,325.74,B,B2,RENT,51400.0,Not Verified,Fully Paid,n,TX,19.14,0.0,Oct-2000,3.0,10.0,0.0,10160.0,59.1,24.0,f,0.0,0.0,10575.94,10575.94,10000.0,575.94,0.0,0.0,0.0,Aug-2012,8627.74,Sep-2014,0.0
1068945,7100.0,7100.0,7100.0, 36 months,16.77,252.33,D,D2,MORTGAGE,33000.0,Verified,Fully Paid,n,TX,24.0,0.0,Apr-2007,2.0,4.0,0.0,6021.0,91.2,8.0,f,0.0,0.0,9079.33484306,9079.33,7100.0,1979.33,0.0,0.0,0.0,Jan-2015,262.78,Jan-2016,0.0
1069142,13000.0,13000.0,13000.0, 60 months,12.69,293.74,B,B5,MORTGAGE,30000.0,Source Verified,Fully Paid,n,NJ,13.72,0.0,May-2002,0.0,17.0,0.0,17080.0,58.9,27.0,f,0.0,0.0,17402.2399868,17402.24,13000.0,4402.24,0.0,0.0,0.0,Jan-2016,3596.46,Jan-2016,0.0
1068934,17500.0,8950.0,8925.0, 60 months,17.27,223.74,D,D3,RENT,40000.0,Verified,Current,n,CA,19.47,0.0,May-2006,1.0,5.0,0.0,10724.0,58.9,6.0,f,2462.25,2455.34,10713.52,10683.65,6487.75,4225.77,0.0,0.0,0.0,Jan-2016,223.74,Jan-2016,0.0
1069136,17675.0,17675.0,17675.0, 60 months,14.65,417.25,C,C3,RENT,50000.0,Source Verified,Fully Paid,n,WI,16.46,0.0,Jul-2002,2.0,6.0,0.0,6661.0,57.4,14.0,f,0.0,0.0,21323.43,21323.43,17675.0,3648.43,0.0,0.0,0.0,Aug-2013,13814.81,Feb-2014,0.0
1068923,8000.0,8000.0,8000.0, 36 months,16.77,284.31,D,D2,RENT,62000.0,Not Verified,Fully Paid,n,VA,21.64,0.0,Jul-2006,3.0,14.0,0.0,6088.0,66.9,20.0,f,0.0,0.0,10267.2621391,10267.26,8000.0,2252.27,14.98883533,0.0,0.0,Dec-2014,606.54,Jan-2016,0.0
1069126,10000.0,10000.0,9975.0, 60 months,10.65,215.69,B,B2,RENT,45996.0,Verified,Charged Off,n,OH,21.73,0.0,May-1997,1.0,7.0,0.0,11170.0,30.1,15.0,f,0.0,0.0,8772.91,8751.08,5495.38,2429.23,1.0,847.3,152.514,Apr-2015,1.0,Jun-2015,0.0
1069102,3500.0,3500.0,3500.0, 36 months,10.65,114.01,B,B2,MORTGAGE,55000.0,Not Verified,Fully Paid,n,OH,5.39,0.0,Oct-2005,1.0,9.0,0.0,6611.0,45.9,12.0,f,0.0,0.0,4103.16812842,4103.17,3500.0,603.17,0.0,0.0,0.0,Jan-2015,118.32,Dec-2014,0.0
1069093,12500.0,8925.0,8925.0, 60 months,17.27,223.11,D,D3,RENT,30000.0,Source Verified,Charged Off,n,MN,13.16,0.0,Apr-1995,0.0,7.0,1.0,9844.0,70.8,28.0,f,0.0,0.0,5577.75,5577.75,2812.82,2742.43,0.0,22.5,0.0,Feb-2014,223.11,Jan-2016,0.0
1069030,16425.0,16425.0,16425.0, 36 months,14.27,563.53,C,C2,RENT,44544.0,Source Verified,Fully Paid,n,CA,22.71,0.0,Oct-2002,1.0,10.0,0.0,15747.0,83.4,18.0,f,0.0,0.0,18172.71,18172.71,16425.0,1747.71,0.0,0.0,0.0,Nov-2012,13108.71,Jul-2015,0.0
1068906,8200.0,8200.0,8200.0, 60 months,21.28,223.14,F,F2,RENT,75000.0,Source Verified,Charged Off,n,CA,12.48,0.0,Jan-2000,3.0,6.0,0.0,9012.0,73.9,11.0,f,0.0,0.0,4173.57,4173.57,1525.83,2265.85,0.0,381.89,3.6,Jun-2013,223.14,Oct-2013,0.0
1069073,15000.0,15000.0,15000.0, 36 months,14.65,517.42,C,C3,OWN,61000.0,Verified,Fully Paid,n,FL,11.88,0.0,Jun-2004,1.0,8.0,0.0,19397.0,79.5,18.0,f,0.0,0.0,18562.40042,18562.4,15000.0,3562.4,0.0,0.0,0.0,Sep-2014,2533.38,Jan-2016,0.0
1069043,20975.0,13575.0,13550.0, 60 months,17.58,341.63,D,D4,MORTGAGE,44000.0,Verified,Fully Paid,n,GA,18.79,0.0,Apr-2000,0.0,13.0,1.0,20657.0,79.4,21.0,f,0.0,0.0,18097.3445842,18064.1,13575.0,4522.34,0.0,0.0,0.0,Apr-2014,9245.21,Apr-2014,0.0
1060981,6400.0,6400.0,6400.0, 36 months,16.77,227.45,D,D2,RENT,75000.0,Not Verified,Charged Off,n,CA,20.22,0.0,Dec-1994,0.0,9.0,0.0,7159.0,67.5,27.0,f,0.0,0.0,4776.45,4776.45,3334.25,1431.91,0.0,10.29,0.0,Oct-2013,227.45,Jan-2016,0.0
1069071,3000.0,3000.0,3000.0, 36 months,13.49,101.8,C,C1,RENT,33600.0,Not Verified,Fully Paid,n,AL,18.11,0.0,Oct-2005,0.0,4.0,0.0,2745.0,83.2,7.0,f,0.0,0.0,3246.8,3246.8,3000.0,246.8,0.0,0.0,0.0,Sep-2012,2539.58,Jan-2015,0.0
1069070,12000.0,12000.0,12000.0, 36 months,16.77,426.47,D,D2,RENT,50000.0,Not Verified,Fully Paid,n,MA,20.57,0.0,Sep-2005,1.0,13.0,0.0,11443.0,97.0,19.0,f,0.0,0.0,15346.4668655,15346.47,12000.0,3346.47,0.0,0.0,0.0,Jan-2015,441.52,Dec-2014,0.0
1068893,14400.0,14400.0,14400.0, 36 months,8.9,457.25,A,A5,OWN,150000.0,Source Verified,Fully Paid,n,NY,14.85,0.0,Dec-1994,0.0,12.0,0.0,63864.0,55.0,38.0,f,0.0,0.0,16459.519142,16459.52,14400.0,2059.52,0.0,0.0,0.0,Jan-2015,464.02,Dec-2014,0.0
1068882,12000.0,12000.0,12000.0, 36 months,14.65,413.94,C,C3,RENT,90000.0,Not Verified,Fully Paid,n,NJ,16.56,0.0,Dec-1984,2.0,12.0,0.0,17116.0,78.5,36.0,f,0.0,0.0,12699.48,12699.48,12000.0,699.48,0.0,0.0,0.0,Jun-2012,11046.6,Jan-2016,0.0
1069039,11000.0,11000.0,11000.0, 36 months,13.49,373.24,C,C1,MORTGAGE,48000.0,Verified,Fully Paid,n,TX,21.82,0.0,Dec-1999,3.0,15.0,0.0,11382.0,65.0,29.0,f,0.0,0.0,13413.2160453,13413.22,11000.0,2413.22,0.0,0.0,0.0,Oct-2014,1491.29,Oct-2014,0.0
1068416,7250.0,7200.0,7175.0, 60 months,21.67,197.51,F,F3,RENT,75000.0,Verified,Fully Paid,n,CA,24.82,0.0,May-2000,2.0,9.0,1.0,21706.0,91.2,19.0,f,0.0,0.0,8201.53,8173.07,7200.0,1001.53,0.0,0.0,0.0,Sep-2012,6824.7,Jan-2016,0.0
1068997,15000.0,15000.0,15000.0, 36 months,7.9,469.36,A,A4,MORTGAGE,52000.0,Not Verified,Fully Paid,n,TX,9.65,0.0,Nov-2003,1.0,11.0,0.0,1616.0,6.7,29.0,f,0.0,0.0,15557.64,15557.64,15000.0,557.64,0.0,0.0,0.0,Aug-2012,312.74,Mar-2014,0.0
1048390,18000.0,18000.0,18000.0, 60 months,19.91,475.99,E,E4,MORTGAGE,65000.0,Not Verified,Fully Paid,n,FL,6.81,0.0,Jun-1989,0.0,10.0,0.0,11745.0,77.8,40.0,f,0.0,0.0,26027.5396382,26027.54,18000.0,8003.76,23.7814996114,0.0,0.0,Oct-2014,10783.73,Oct-2014,0.0
