id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,home_ownership,annual_inc,verification_status,loan_status,pymnt_plan,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,acc_now_delinq
1077501,5000.0,5000.0,4975.0, 36 months,10.65,162.87,B,B2,RENT,24000.0,Verified,Fully Paid,n,AZ,27.65,0.0,Jan-1985,1.0,3.0,0.0,13648.0,83.7,9.0,f,0.0,0.0,5861.07141425,5831.78,5000.0,861.07,0.0,0.0,0.0,Jan-2015,171.62,Jan-2016,0.0
1077430,2500.0,2500.0,2500.0, 60 months,15.27,59.83,C,C4,RENT,30000.0,Source Verified,Charged Off,n,GA,1.0,0.0,Apr-1999,5.0,3.0,0.0,1687.0,9.4,4.0,f,0.0,0.0,1008.71,1008.71,456.46,435.17,0.0,117.08,1.11,Apr-2013,119.66,Sep-2013,0.0
1077175,2400.0,2400.0,2400.0, 36 months,15.96,84.33,C,C5,RENT,12252.0,Not Verified,Fully Paid,n,IL,8.72,0.0,Nov-2001,2.0,2.0,0.0,2956.0,98.5,10.0,f,0.0,0.0,3003.65364445,3003.65,2400.0,603.65,0.0,0.0,0.0,Jun-2014,649.91,Jan-2016,0.0
1076863,10000.0,10000.0,10000.0, 36 months,13.49,339.31,C,C1,RENT,49200.0,Source Verified,Fully Paid,n,CA,20.0,0.0,Feb-1996,1.0,10.0,0.0,5598.0,21.0,37.0,f,0.0,0.0,12226.3022123,12226.3,10000.0,2209.33,16.97,0.0,0.0,Jan-2015,357.48,Jan-2015,0.0
1075358,3000.0,3000.0,3000.0, 60 months,12.69,67.79,B,B5,RENT,80000.0,Source Verified,Current,n,OR,17.94,0.0,Jan-1996,0.0,15.0,0.0,27783.0,53.9,38.0,f,766.9,766.9,3242.17,3242.17,2233.1,1009.07,0.0,0.0,0.0,Jan-2016,67.79,Jan-2016,0.0
1075269,5000.0,5000.0,5000.0, 36 months,7.9,156.46,A,A4,RENT,36000.0,Source Verified,Fully Paid,n,AZ,11.2,0.0,Nov-2004,3.0,9.0,0.0,7963.0,28.3,12.0,f,0.0,0.0,5631.37775318,5631.38,5000.0,631.38,0.0,0.0,0.0,Jan-2015,161.03,Sep-2015,0.0
1069639,7000.0,7000.0,7000.0, 60 months,15.96,170.08,C,C5,RENT,47004.0,Not Verified,Current,n,NC,23.51,0.0,Jul-2005,1.0,7.0,0.0,17726.0,85.6,11.0,f,1889.15,1889.15,8136.84,8136.84,5110.85,3025.99,0.0,0.0,0.0,Jan-2016,170.08,Jan-2016,0.0
1072053,3000.0,3000.0,3000.0, 36 months,18.64,109.43,E,E1,RENT,48000.0,Source Verified,Fully Paid,n,CA,5.35,0.0,Jan-2007,2.0,4.0,0.0,8221.0,87.5,4.0,f,0.0,0.0,3938.14433376,3938.14,3000.0,938.14,0.0,0.0,0.0,Jan-2015,111.34,Dec-2014,0.0
1071795,5600.0,5600.0,5600.0, 60 months,21.28,152.39,F,F2,OWN,40000.0,Source Verified,Charged Off,n,CA,5.55,0.0,Apr-2004,2.0,11.0,0.0,5210.0,32.6,13.0,f,0.0,0.0,646.02,646.02,162.02,294.94,0.0,189.06,2.09,Apr-2012,152.39,Aug-2012,0.0
1071570,5375.0,5375.0,5350.0, 60 months,12.69,121.45,B,B5,RENT,15000.0,Verified,Charged Off,n,TX,18.08,0.0,Sep-2004,0.0,2.0,0.0,9279.0,36.5,3.0,f,0.0,0.0,1476.19,1469.34,673.48,533.42,0.0,269.29,2.52,Nov-2012,121.45,Mar-2013,0.0
1070078,6500.0,6500.0,6500.0, 60 months,14.65,153.45,C,C3,OWN,72000.0,Not Verified,Fully Paid,n,AZ,16.12,0.0,Jan-1998,2.0,14.0,0.0,4032.0,20.6,23.0,f,0.0,0.0,7677.52,7677.52,6500.0,1177.52,0.0,0.0,0.0,Jun-2013,1655.54,Dec-2015,0.0
